station_name,latitude,longitude,total_bikes,station,distance,review_count,rating,price
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,78,0,262.9767441860465,258.30232558139534,8.065348837209303,2.627906976744186
de la Commune / King,45.49750375338383,-73.55284452438353,62,1,451.47222222222223,382.6111111111111,8.471111111111112,2.7222222222222223
Jeanne-Mance / René-Lévesque,45.5063713381299,-73.5642009973526,55,2,458.27027027027026,291.7567567567568,8.29972972972973,2.4864864864864864
Métro Viau (Viau / Pierre-de-Coubertin),45.563084167155345,-73.5481941328544,50,3,640.6,31.15,6.962999999999999,2.0
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,48,4,237.25,282.625,8.089,2.225
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,47,5,813.6060606060606,465.1818181818182,8.297878787878789,2.727272727272727
de la Commune / Berri,45.51086,-73.54983,47,6,436.6333333333333,247.06666666666666,8.501666666666667,2.433333333333333
Drummond / de Maisonneuve,45.499515390738885,-73.57602953910826,46,7,243.73170731707316,293.0731707317073,8.108048780487804,2.341463414634146
Ste-Catherine / Sanguinet,45.512936177874096,-73.56124520301817,46,8,560.6571428571428,201.6,8.26657142857143,2.3714285714285714
McTavish / Sherbrooke,45.50277615861811,-73.57589408755302,45,9,424.7,271.1,8.17375,2.4
University / Prince-Arthur,45.5074794530521,-73.57864737510681,45,10,834.0,282.5483870967742,8.223548387096775,2.2580645161290325
St-Urbain / de la Gauchetière,45.50707812811467,-73.56139540672302,43,11,446.3157894736842,315.07894736842104,8.315000000000001,2.5789473684210527
Parc Père-Marquette (Chambord / Rosemont),45.53708783301333,-73.59321847558022,41,12,838.75,61.285714285714285,8.718571428571428,2.0
St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765,41,13,559.4324324324324,200.35135135135135,8.116486486486487,2.2162162162162162
Queen / Wellington,45.49760527699099,-73.55534970760345,39,14,344.15,342.275,8.54025,2.575
Aylmer / Ste-Catherine,45.50434678685089,-73.56894850730896,39,15,370.5,237.92857142857142,8.072857142857142,2.380952380952381
