station_name,latitude,longitude,total_bikes,station,distance,rating,popularity,price
Métro Viau (Viau / Pierre-de-Coubertin),45.563084167155345,-73.5481941328544,50,3,733.8,7.483333333333333,0.9418,1.3333333333333333
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,48,4,401.109756097561,8.051219512195123,0.9743170731707316,1.7777777777777777
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,47,5,772.1122448979592,8.200000000000001,0.9658775510204081,1.7608695652173914
de la Commune / Berri,45.51086,-73.54983,47,6,701.6447368421053,7.922535211267606,0.9672499999999999,1.75
Drummond / de Maisonneuve,45.499515390738885,-73.57602953910826,46,7,374.7375,8.015,0.9739625000000001,1.7848101265822784
Ste-Catherine / Sanguinet,45.512936177874096,-73.56124520301817,46,8,698.156626506024,8.357831325301206,0.9709759036144577,1.6710526315789473
McTavish / Sherbrooke,45.50277615861811,-73.57589408755302,45,9,595.8607594936709,8.188607594936709,0.9743417721518988,1.7307692307692308
University / Prince-Arthur,45.5074794530521,-73.57864737510681,45,10,827.2298850574713,8.037931034482758,0.9683103448275862,1.8795180722891567
St-Urbain / de la Gauchetière,45.50707812811467,-73.56139540672302,43,11,632.3164556962025,8.579746835443038,0.9725189873417721,1.7083333333333333
Parc Père-Marquette (Chambord / Rosemont),45.53708783301333,-73.59321847558022,41,12,714.1159420289855,8.168,0.9378840579710145,1.5538461538461539
St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765,41,13,734.0117647058823,8.37764705882353,0.9697999999999999,1.7236842105263157
Queen / Wellington,45.49760527699099,-73.55534970760345,39,14,627.816091954023,8.202409638554217,0.9619540229885057,1.64
Aylmer / Ste-Catherine,45.50434678685089,-73.56894850730896,39,15,627.448275862069,8.202298850574714,0.9752643678160919,1.6049382716049383
Métro Mont-Royal (Berri / Mont-Royal),45.52501371261418,-73.58220934867859,39,16,558.8318584070796,8.591150442477876,0.9418938053097345,1.5
Stanley / René-Lévesque,45.49790394592446,-73.57077571808077,38,17,507.2278481012658,8.11898734177215,0.9747088607594936,1.7142857142857142
Parc Baldwin (Fullum / Sherbrooke),45.53407048533949,-73.56265068054199,38,18,841.3,7.347368421052631,0.92984,1.4166666666666667
Milton / University,45.50651983995355,-73.57640504837036,38,19,777.4166666666666,8.186904761904762,0.9728809523809523,1.8024691358024691
Gary-Carter / St-Laurent,45.53613488953656,-73.62258464097977,37,21,661.8444444444444,8.356818181818182,0.9399777777777778,1.5443037974683544
Berri / Cherrier,45.519266156911335,-73.5692971944809,37,22,725.1340206185567,8.296907216494844,0.9544432989690722,1.793103448275862
Parc Jeanne-Mance (monument à sir George-Étienne Cartier),45.5148664330228,-73.58475860237377,36,23,714.9702970297029,8.087628865979381,0.9439801980198019,1.6041666666666667
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,36,24,652.3372093023256,8.194186046511629,0.9755581395348837,1.6075949367088607
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,36,25,418.65909090909093,8.564772727272727,0.9595795454545454,1.8048780487804879
Union / Ste-Catherine,45.504027213143104,-73.56970220804214,35,26,611.6547619047619,8.195238095238095,0.9762738095238096,1.5512820512820513
University / des Pins,45.50817464963893,-73.58002064942411,35,27,822.7701149425287,7.796511627906977,0.9591609195402299,1.7195121951219512
Dorion / Ontario,45.526991277453526,-73.55821162462234,35,28,714.3731343283582,7.281132075471698,0.9342985074626865,1.7419354838709677
de la Montagne / Ste-Catherine,45.49774064151583,-73.57484936714172,35,29,370.60493827160496,8.123456790123457,0.9736296296296297,1.8375
Larivière / de Lorimier,45.5291345371163,-73.55923354625702,35,30,701.4705882352941,6.8999999999999995,0.9270882352941177,1.6470588235294117
de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588,34,31,657.6428571428571,7.2,0.9602857142857143,1.564102564102564
Cypress / Peel,45.49933033434456,-73.57175691987322,34,33,426.0632911392405,8.09746835443038,0.9752405063291139,1.76
Métro Atwater (Atwater / Ste-Catherine),45.48952522221574,-73.5844581949641,34,34,641.6506024096385,7.342465753424658,0.9659518072289156,1.381578947368421
du Mont-Royal / Clark,45.51941,-73.58685,34,35,613.9375,8.5625,0.9424374999999999,1.5412844036697249
Mackay / de Maisonneuve,45.49682986230046,-73.57913017272949,34,36,446.04819277108436,8.080722891566266,0.9724698795180723,1.8
Léa-Roback / Sir-Georges-Etienne-Cartier,45.471703687608354,-73.58268946409225,34,37,671.4772727272727,8.331428571428573,0.9263181818181819,1.6585365853658536
Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,34,38,396.7142857142857,6.389473684210526,0.9041666666666667,1.1891891891891893
Métro Lionel-Groulx (St-Jacques / Atwater),45.48295816149219,-73.57975836854166,33,39,545.4347826086956,7.833928571428571,0.950304347826087,1.676923076923077
Viger / Chenneville,45.50531166520915,-73.56089115142822,33,41,599.575,8.584999999999999,0.9721375,1.6428571428571428
Prince-Arthur / du Parc,45.51044465753362,-73.5755842924118,33,42,727.2705882352941,8.18235294117647,0.9662705882352941,1.7105263157894737
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.51689731423111,-73.58910799026489,33,43,696.6538461538462,8.508653846153846,0.940625,1.5841584158415842
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),45.50398168549117,-73.62283945083618,33,44,775.05,6.848484848484849,0.9439249999999999,1.5142857142857142
Robert-Bourassa / René-Lévesque,45.502182909901194,-73.56825381517409,32,45,605.4819277108434,8.333734939759037,0.9738072289156626,1.7792207792207793
